jobid,date,description,employer,location,salary,tags,title,url,weeknum
117674,2016-08-02,"Like all Engineering roles at Hover, this is a cross-functional role at its core: you will work in…","HOVER, Inc.","San Francisco, CA",,"[javascript, css, angular2, webgl, ruby-on-rails]",Senior Front End Engineer,/jobs/117674/senior-front-end-engineer-hover-inc,31
117673,2016-08-02,We are looking for a Senior Ruby on Rails developer who has deep knowledge of the framework and hands-on…,"HOVER, Inc.","San Francisco, CA",,"[ruby-on-rails, postgresql, redis, rspec, amazon-web-services]",Senior Ruby on Rails Engineer,/jobs/117673/senior-ruby-on-rails-engineer-hover-inc,31
120722,2016-08-02,"INRIX (based in Kirkland, WA) is seeking a part-time Technical Analyst to ensure accuracy and quality…",INRIX,"Kirkland, WA",,[],Temporary - TOC Analyst,/jobs/120722/temporary-toc-analyst-inrix,31
122149,2016-08-02,You will share responsibility for the architecture and code of the Video Annotation Tool and Network…,Arrowsight,"Mount Kisco, NY",,"[image-processing, computer-vision, libavcodec, wpf, video-streaming]",Video Software Architect/Engineer - 1 hour north of Manhattan,/jobs/122149/video-software-architect-engineer-1-hour-north-arrowsight,31
117667,2016-08-02,National Journal is looking for a Senior Developer to be jointly responsible for the successful delivery…,National Journal,"Washington, DC",,"[python, django, jquery, html, cssless]",Senior Python Developer,/jobs/117667/senior-python-developer-national-journal,31
117671,2016-08-02,"OUR QUEST
We are looking for self-starting developers with strong experience developing sophisticated…",Runzheimer International,"Waterford, WI","$88,000 - 130,000","[xamarin, sql-server, soa, azure, ios]",Mobile Application Developer,/jobs/117671/mobile-application-developer-runzheimer-international,31
117668,2016-08-02,At Element 84 we're a growing company that builds ambitious software products for clients whose needs…,"Element 84, Inc.","Alexandria, VA",,"[html, css, javascript, agile, frontend]",Front End Engineer,/jobs/117668/front-end-engineer-element-84-inc,31
117669,2016-08-02,"INRIX is aggressively driving development of large scale, big data cloud services. We are looking for a…",INRIX,"Kirkland, WA",,"[hadoop, spark, nosql]",Senior Big Data Software Developer,/jobs/117669/senior-big-data-software-developer-inrix,31
121072,2016-08-02,"How This Job is Different
As a developer looking for your next job, the world is your oyster.
Except…",Leadpages,"Minneapolis, MN",Provides Equity,"[ruby-on-rails, javascript]",Ruby on Rails Developer,/jobs/121072/ruby-on-rails-developer-leadpages,31
122147,2016-08-02,"Qualys is seeking an experienced Front-end Engineering Manager to join our team. As a manager, you'll be…",Qualys,"Redwood City, CA",Provides Equity,"[javascript, html, css]",Front-End Engineering Manager,/jobs/122147/front-end-engineering-manager-qualys,31
115371,2016-08-02,Product managers are the glue between our engineering & design teams and the rest of the Appboy…,Appboy,"New York, NY",Provides Equity,"[android, ios, testing, user-experience]",Product Manager,/jobs/115371/product-manager-appboy,31
122145,2016-08-02,We are looking for someone to help us build our fast-growing R and Python curriculum. As a Course…,DataCamp,"Cambridge, MA",Provides Equity,"[python, r, machine-learning, data-science, scipy]",Course Developer (R or Python Focus),/jobs/122145/course-developer-r-or-python-focus-datacamp,31
117664,2016-08-02,You are a front-end engineer with rock solid front-end skills and command of modern tools and techniques…,MCD Partners,"New York, NY",,"[javascript, css, compass-sass, git, html]",Developer,/jobs/117664/developer-mcd-partners,31
122143,2016-08-02,PLAYSTUDIOS is the banner flown by a tight-knit crew of entrepreneurial-minded professionals and gaming…,PLAYSTUDIOS,"Austin, TX",Provides Equity,"[sql-server, tsql, database]",Database Engineer,/jobs/122143/database-engineer-playstudios,31
117662,2016-08-02,"JOB SUMMARY:
The successful candidate will be responsible for developing and maintaining business to…",Satcom Direct (SD),"Melbourne, FL",,"[c#, asp.net-mvc-4, json, angularjs, javascript]",Software Engineer,/jobs/117662/software-engineer-satcom-direct-sd,31
122142,2016-08-02,"Full Job Description Available Here:
https://www.qimple.com/jobs/lead-developer-fullstack…",Blockthrough,"Toronto, ON, Canada",,"[docker, node.js, wordpress, django, user-interface]",Lead Developer (Full-Stack),/jobs/122142/lead-developer-full-stack-blockthrough,31
117661,2016-08-02,The Primer team started as a growth consulting company working with clients to fuel exponential growth.…,Primer (goprimer.com),"San Francisco, CA",,"[sdk, ios, iphone, objective-c]",Lead iOS Engineer with Product Skills,/jobs/117661/lead-ios-engineer-with-product-skills-primer-goprimercom,31
122141,2016-08-02,"The Platform technology group is seeking a results-drievn, team-oriented, self motivated professional to…",Thomson Reuters,"Eagan, MN",,"[java, angularjs, hadoop, bigdata, scala]",Senior Software Engineer,/jobs/122141/senior-software-engineer-thomson-reuters,31
122140,2016-08-02,This job is a remote long-term contract for an individual residing in Spain. Proficiency in both Spanish…,ENTERPRISE JBILLING SOFTWARE LTD.,"Madrid, Spain",,"[java, spring, sql, hibernate, unix]",Java Developer for jBilling Start-up in Spain,/jobs/122140/java-developer-for-jbilling-start-up-in-spain-enterprise-jbilling-software,31
117659,2016-08-02,"At Spree Commerce, we're on a mission to empower the world's sellers through cutting-edge solutions that…",Spree Commerce,"Bethesda, MD",,"[postgresql, redis, amazon-ec2, ruby, node.js]",Senior Ruby+Fullstack Engineer,/jobs/117659/senior-ruby-plusfullstack-engineer-spree-commerce,31
115362,2016-08-02,This position will be within the Trade Support group at Jane Street's New York office. We do a mix of…,Jane Street,"New York, NY",,[unix],DevOps Engineer,/jobs/115362/devops-engineer-jane-street,31
119842,2016-08-02,"You are: 

Established in your career as a software developer, seeking to find an environment where…",mProve Health,"Arlington, VA",,"[java, android, angularjs, reactjs]",Software Engineer | App Developer @ profitable mHealth Company,/jobs/119842/software-engineer-app-developer-profitable-mprove-health,31
117643,2016-08-02,"ESSENTIAL DUTIES AND RESPONSIBILITIES:

Participate in iterative development process with cross…",Cimetrix,"Salt Lake City, UT",,"[c++, c#, solid-principles, wcf, wpf]",Software Engineer Level II,/jobs/117643/software-engineer-level-ii-cimetrix,31
122130,2016-08-02,"Lösungen, die verbinden – und Leistungen, die begeistern: Mit einem umfangreichen Dienstleistungs- und…",opta data Abrechnungs GmbH,"Essen, Deutschland",,"[java, html, css, javascript, jsp]",Teamleiter/Projektleiter (w/m) Softwareentwicklung (Java),/jobs/122130/teamleiter-projektleiter-w-m-opta-data-abrechnungs-gmbh,31
97818,2016-08-02,"Our Client is a parent-centric retail technology company. They deliver delightful experiences, products,…",Quidsi (via Andiamo),"Jersey City, NJ",,"[java, c++, c#, python, ruby]",Software Development Manager - Global eCommerce Firm,/jobs/97818/software-development-manager-global-ecommerce-quidsi-via-andiamo,31
122129,2016-08-02,"Job Description
Stone Coast Fund Services is looking for a senior .NET developer who will be…",Stone Coast Fund Services,"Portland, ME",,"[c#, asp.net-mvc, javascript, sql, asp.net-web-api]",Senior Developer,/jobs/122129/senior-developer-stone-coast-fund-services,31
119833,2016-08-02,"About Amazon
Amazon.com opened on the World Wide Web in July 1995. The company is guided by four…",Amazon,"Seattle, WA",,"[account, management, login]","Account Executive, Amazon Payments, North America",/jobs/119833/account-executive-amazon-payments-north-america-amazon,31
122128,2016-08-02,Chrono24 ist der führende internationale Online-Marktplatz für Luxusuhren. Wir bringen täglich mehr als…,Chrono24 GmbH,"Karlsruhe, Deutschland",,"[ios, objective-c, swift, xcode, cocoapods]",iOS Developer (m/w),/jobs/122128/ios-developer-m-w-chrono24-gmbh,31
122127,2016-08-02,Twitch is looking for a focused Security Engineer with deep technical skills and problem solving…,Twitch,"San Francisco, CA",Provides Equity,[security],Information Security Engineer,/jobs/122127/information-security-engineer-twitch,31
119618,2016-08-02,"Description
We are seeking a talented Principal Software Engineer/Architect to work on Qualys’ next…",Qualys,"Redwood City, CA",,"[saas, java, jvm, data-structures]",Principal Software Engineer,/jobs/119618/principal-software-engineer-qualys,31
112890,2016-08-02,"Job Category:
Android Developer, SI Play
Overview:
Sports Illustrated Play is a Sports Technology…",Time Inc,"Saratoga Springs, NY",,"[android, java, rest, json, xml]","Android Developer, SI Play",/jobs/112890/android-developer-si-play-time-inc,31
112889,2016-08-02,"Job Category:
Technology/Engineering
.
We are seeking a high energy, self driven WordPress PHP…",Time Inc,"Phoenix, AZ",,"[php, wordpress, javascript, sql, css3]",Wordpress PHP Developer,/jobs/112889/wordpress-php-developer-time-inc,31
122126,2016-08-02,Mimecast is looking for experienced Core Java Developers (Senior to Lead Software Engineers) to join our…,Mimecast,"London, UK",,"[java, concurrency, multithreading, smtp, linux]",Java Developers (Senior & Lead) shape performance & scalability in real-time...,/jobs/122126/java-developers-senior-lead-shape-performance-mimecast,31
112888,2016-08-02,"The job:
Reporting to the Vice President of Engineering, a Senior Developer, Web and Mobile, for Sports…",Time Inc,"New York, NY",,"[html, css, javascript, asp.net, sql]","Senior Developer, Web and Mobile, SI Play",/jobs/112888/senior-developer-web-and-mobile-si-play-time-inc,31
117648,2016-08-02,"Overview:
The System Administrator shall be proficient in all aspects of analysis, implementation,…","Arcata Associates, Inc.","Las Vegas, NV",,[sysadmin],System Administrator,/jobs/117648/system-administrator-arcata-associates-inc,31
119838,2016-08-02,"Das Team Home Access Carrier Interfaces verantwortet die Schnittstellen zu unseren Vordienstleistern,…",1&1,"Karlsruhe, Deutschland",,"[java, jbpm, java-ee]",Software Architekt - Home Access Carrier Interfaces (m/w),/jobs/119838/software-architekt-home-access-carrier-1-1,31
119841,2016-08-02,Wir entwickeln die Mobile- und DSL-Shops für die 1&1 und freuen uns auf Sie als erfahrenen Java…,1&1,"Karlsruhe, Deutschland",,"[git, jenkins, linux, sql, html]",Webentwickler Java (m/w) - Für Access Shopsysteme,/jobs/119841/webentwickler-java-m-w-f%C3%BCr-access-shopsysteme-1-1,31
115360,2016-08-02,eBay Classifieds Group is hiring in Denmark. Want to join? This is a rarely available role on the…,eBay Classifieds Group,"Aarhus, Denmark",,"[html, css, javascript]",Senior Web Developer,/jobs/115360/senior-web-developer-ebay-classifieds-group,31
119840,2016-08-02,Der Bereich Development Access ist bei 1&1 ein zentraler Part für die Produktfamilie DSL-Access/VoIP…,1&1,"Karlsruhe, Deutschland",,"[c, c++, sql, sip-server, ipv6]",Softwareentwickler C/C++ VoIP (m/w) - Für unseren Bereich Development Access,/jobs/119840/softwareentwickler-c-c-plus-plus-voip-m-w-f%C3%BCr-unseren-1-1,31
112896,2016-08-02,"About Blackbaud:
Blackbaud is the leading provider of software solutions to the global philanthropic…",Blackbaud,"San Diego, CA",,"[python, shell, perl, vmware, sql]",Senior Software Engineer - DevOps,/jobs/112896/senior-software-engineer-devops-blackbaud,31
122138,2016-08-02,Solutran is an innovative leader in high volume payment processing serving the nation’s largest…,Solutran,"Minneapolis, MN",,[],“Do. Or do not. There is no try.” – Yoda  (.Net Developer needed in Minnesota),/jobs/122138/do-or-do-not-there-is-no-try-yoda-net-solutran,31
119839,2016-08-02,"Innerhalb des Softwareentwicklungsteams ""VoIP Processes"" arbeiten Sie in einem agilen Umfeld an der…",1&1,"Karlsruhe, Deutschland",,"[java, jboss, svn, junit, spring]",Junior Softwareentwickler Java (m/w) - Bereich VoIP-Middleware,/jobs/119839/junior-softwareentwickler-java-m-w-bereich-1-1,31
75558,2016-08-02,Have you ever had a dream so real you felt awake?  Where you helped decide how to build awesome products…,"Bluebeam Software, Inc.","San Diego, CA",,"[c#, .net, xamarin, oop, visual-c++]",Experienced C# Engineer,/jobs/75558/experienced-c-sharp-engineer-bluebeam-software-inc,31
117636,2016-08-02,Dana-Farber Cancer Institute seeks a Front-End Software Engineer to help build open-source software for…,Dana-Farber Cancer Institute,"Boston, MA","$80,000 - 100,000","[angularjs, javascript, d3.js]",Front-End Software Engineer - Knowledge Systems Group,/jobs/117636/front-end-software-engineer-knowledge-systems-dana-farber-cancer-institute,31
122124,2016-08-02,"Purpose of the Role:
mPulse seeks a Python Developer that can help progress the development of our…",mPulse Mobile,"Los Angeles, CA",,[],Python Developer,/jobs/122124/python-developer-mpulse-mobile,31
122123,2016-08-02,Gilt Groupe is seeking a talented Sr. User Experience Designer to be the customer advocate and interpret…,Gilt Tech,"New York, NY",,"[interface, architecture, design, indesign, user-experience]",Senior User Experience Designer,/jobs/122123/senior-user-experience-designer-gilt-tech,31
122122,2016-08-02,Hi!Welcome to the Yoyo Engineering team. We're a group of ~15 software developers working in an…,Yoyo Wallet,"London, UK","£35,000 - 70,000","[backend, python, engineer, software, developer]",Software Engineer (Intermediate & Senior ),/jobs/122122/software-engineer-intermediate-senior-yoyo-wallet,31
115606,2016-08-02,"Owing to our constant development and expansion into European and international markets, we need to…",Lordgun,"Brescia, Italy","€40,000 - 80,000","[c#, nosql, domain-driven-design, asp.net-mvc-5, asp.net]",SENIOR WEB DEVELOPER (.NET),/jobs/115606/senior-web-developer-net-lordgun,31
117645,2016-08-02,The Computational Memory Lab (http://memory.psych.upenn.edu/) at the University of Pennsylvania has an…,"Computational Memory Lab, University of Pennsylvania","Philadelphia, PA",,"[python, unity3d, computer-science, scipy, bigdata]",Scientific Application Developer,/jobs/117645/scientific-application-developer-computational-memory-lab,31
105652,2016-08-02,"When the world throws technology challenges at us, we eat them up. And then we ask for more. Welcome to…",TMP Worldwide,"New York, NY",,"[.net, asp.net-mvc, asp.net-mvc-4, elasticsearch]","Sr Software Engineer - .Net, MVC",/jobs/105652/sr-software-engineer-net-mvc-tmp-worldwide,31
107469,2016-08-02,"We’re looking for a smart Software Engineer in Test who’s fun to work with, passionate about automation…",GoEuro Travel GmbH,"Berlin, Germany",,"[java, javascript, testing, selenium, jenkins]",Software Engineer in Test (Java / JavaScript),/jobs/107469/software-engineer-in-test-java-javascript-goeuro-travel-gmbh,31
118412,2016-08-02,"We are hiring an iOS Developer, to develop and deliver the Company technology stack and platform…",NetworkingUp,"Barcelona, Espagne",,"[swift, objective-c, mysql, python, node.js]",iOS Developer,/jobs/118412/ios-developer-networkingup,31
118586,2016-08-02,"We are hiring an Android Developer, to lead, develop and deliver the Company technology stack and…",NetworkingUp,"Barcelona, Espagne",,"[android, java, model-view-controller, porting, user-experience]",Android Developer,/jobs/118586/android-developer-networkingup,31
122121,2016-08-02,"Do you want to push browsers to their limits with HTML5, CSS3 and JavaScript? Do you have an eye for…",Forum One,"Alexandria, VA",,"[html, css, drupal, wordpress, php]","Front End Developer (Drupal, WordPress) in Northern VA (relocation available)",/jobs/122121/front-end-developer-drupal-wordpress-in-forum-one,31
122120,2016-08-02,We are on the hunt for a motivated self-starter to create realistic product environments in AR/VR using…,Marxent,"Dayton, OH",,"[unity3d, shader, 3dsmax, c#, maxscript]",Senior Technical Artist,/jobs/122120/senior-technical-artist-marxent,31
101740,2016-08-02,"What's the gig?
As a Full Stack Developer you'll be tasked with working on both the front end and back…",Konrad Group,"Toronto, ON, Canada",,"[asp.net, javascript, node.js, c#, drupal]","Full Stack Developer (Angular, React, Node.js)",/jobs/101740/full-stack-developer-angular-react-nodejs-konrad-group,31
119837,2016-08-02,"Die Abteilung ""VoIP & Access"" verantwortet die Softwareentwicklung für die Leistungssysteme zur…",1&1,"Karlsruhe, Deutschland",,"[java, java-ee, jboss, svn, sql]",Java-Entwickler (m/w) - Auto Configuration Server,/jobs/119837/java-entwickler-m-w-auto-configuration-server-1-1,31
96694,2016-08-02,We are looking for an Oracle tuning expert to join our team. Remote work offered within the US. Travel…,gluent Inc.,"Dallas, TX",,"[database-administration, sysadmin]",Oracle Tuning Expert,/jobs/96694/oracle-tuning-expert-gluent-inc,31
119836,2016-08-02,Die Abteilung Online Sales Access betreut die Verkaufsplattformen der 1&1 Telecommunication AG. Als…,1&1,"Karlsruhe, Deutschland",,"[javascript, xslt, css, maven, linux]","Webentwickler (m/w) - HTML, CSS, XSL, JavaScript",/jobs/119836/webentwickler-m-w-html-css-xsl-javascript-1-1,31
117657,2016-08-02,"Responsibilities

Create and implement responsive features to provide more enjoyable experiences for…","Nulab, Inc","New York, NY",,"[javascript, html5, css3, sass, jquery]",Front-End Developer at Nulab!!!!,/jobs/117657/front-end-developer-at-nulab-nulab-inc,31
122137,2016-08-02,Lead Software Engineer - AppLink Team  Who We Are:  CareerBuilder is the global leader in human capital…,Careerbuilder,"Norcross, GA",,"[software, engineer, applink]",Lead Software Engineer - AppLink Team,/jobs/122137/lead-software-engineer-applink-team-careerbuilder,31
119835,2016-08-02,Sie möchten Ihre Fähigkeiten in unserem Scrum-Team einbringen und erweitern? Sie sind überzeugt davon…,1&1,"Karlsruhe, Deutschland",,"[java, jboss, java-ee, scrum, bpmn]",Java-Entwickler Geschäftsprozesse (m/w) - Standortgebundene Internetzugänge,/jobs/119835/java-entwickler-gesch%C3%A4ftsprozesse-m-w-1-1,31
108223,2016-08-02,"About Blackbaud:
Blackbaud is the leading provider of software solutions to the global philanthropic…",Blackbaud,"Charleston, SC",,"[.net, java, javascript, ruby-on-rails, php]",Help Good Take Over as a Senior DevOps Engineer with Blackbaud,/jobs/108223/help-good-take-over-as-a-senior-devops-engineer-blackbaud,31
122136,2016-08-02,"WHAT YOU’LL DO

Successfully partner with engineers to quickly and efficiently release…",Hulu,"Santa Monica, CA",,"[scrum, agile, jira, api, encoding]",Technical Program Manager - Video Platform,/jobs/122136/technical-program-manager-video-platform-hulu,31
51194,2016-08-02,The 411 We're looking for a clever iOS developer with brilliance and prestige to help build our cutting…,SceneDoc Inc.,"Mississauga, ON, Canada",,"[objective-c, ux, cryptography, github, realm]",Passionate iOS Developer,/jobs/51194/passionate-ios-developer-scenedoc-inc,31
122132,2016-08-02,"EcoHealth Alliance is seeking a scientist with an M.S., Ph.D. or equivalent degree and a minimum of 3-…",EcoHealth Alliance,"New York, NY",,"[javascript, python, data-science, computer-science, r]",Senior Research Scientist: Technology and Data Sciences,/jobs/122132/senior-research-scientist-technology-and-data-ecohealth-alliance,31
122117,2016-08-02,The 411 We're looking for a clever Android developer with brilliance and prestige to help build our…,SceneDoc Inc.,"Mississauga, ON, Canada",,"[android, android-studio, realm]",Passionate Android Developer,/jobs/122117/passionate-android-developer-scenedoc-inc,31
117656,2016-08-02,GoVios is here to redefine the booking of cruises. We are an ambitious startup financed by private…,GoVios GmbH,"Hamburg, Deutschland",,"[js, es6, react, redux, nodejs]",Junior Frontend Developer (f/m),/jobs/117656/junior-frontend-developer-f-m-govios-gmbh,31
112892,2016-08-02,Lead Java/PaaS Engineer Are you passionate about cloud computing and its ability to transform the way…,Honeywell,"Tempe, AZ",,"[paas, cloud, java, networking, linux]",Lead Java/PaaS Engineer,/jobs/112892/lead-java-paas-engineer-honeywell,31
122131,2016-08-02,"University of Notre DameManager, Enterprise Systems UnitThe University of Notre Dame (http://ND.jobs) is…",University of Notre Dame,"Notre Dame, IN",,[unix],"Manager, Enterprise Systems Unit",/jobs/122131/manager-enterprise-systems-unit-university-of-notre-dame,31
119834,2016-08-02,"About Amazon
Amazon.com opened on the World Wide Web in July 1995. The company is guided by four…",Amazon,"Seattle, WA",,"[account, management, login]","Sr. Account Executive, E-Commerce Platform Provider Business Development",/jobs/119834/sr-account-executive-e-commerce-platform-amazon,31
99850,2016-08-03,"Purpose, mastery and autonomy. We provide all three at Rally Health (rallyhealth.com), a startup that's…","Rally Health, Inc.","San Francisco, CA",,"[ios, objective-c, swift, c++, rest]",Senior Mobile Engineer - iOS,/jobs/99850/senior-mobile-engineer-ios-rally-health-inc,31
122161,2016-08-03,Wargaming Sydney is seeking an experienced C/C++ Senior Software Engineer to join our team. We are…,Wargaming Sydney,"Sydney, Australia",,"[c++, visual-c++, gaming, c]",Senior Software Engineer - C/C++ Tools Development,/jobs/122161/senior-software-engineer-c-c-plus-plus-tools-development-wargaming-sydney,31
122160,2016-08-03,"
Leadership opportunity in Envato Engineering. Applications close 9am Friday 12/08
Create & drive the…",Envato,"Melbourne, Australia",,"[ruby-on-rails, agile, architecture, web-applications, ruby]",Development Team Lead (Group Wide Technology),/jobs/122160/development-team-lead-group-wide-technology-envato,31
122159,2016-08-03,"Do you want to build, maintain, and automate reliable systems? Do you enjoy working with other smart…",TSheets,"Boise, ID",,"[linux, apache, bash, zabbix, mysql, sysadmin]",Site Reliability Engineer for high growth SaaS Product,/jobs/122159/site-reliability-engineer-for-high-growth-saas-tsheets,31
122074,2016-08-03,"Metamako designs, develops and manufactures network devices specifically for finance. We build the best…",Metamako,"Sydney, Australia","$90,000 - 120,000

                                / 
Provides Equity","[python, django, javascript, html, css]",Full stack web developer,/jobs/122074/full-stack-web-developer-metamako,31
122158,2016-08-03,Senior Software Developer / Engineer - Full Stack (Java/C#/.Net) global eCommerce leader  relocate to…,Big Wednesday Digital,"Bangkok, Thailand",,"[java, c#, .net, oop, sdlc]",Senior Engineer - Full Stack -global eCommerce leader -Bangkok ,/jobs/122158/senior-engineer-full-stack-global-ecommerce-big-wednesday-digital,31
117700,2016-08-03,"Lead Developer at Ezebook
Blue Bay NSW
posted 2016-May-16, 6:46 pm
Ezebook is currently looking for…",ezebook pty ltd,"Sydney, Australia",,[],developer / then lead developer,/jobs/117700/developer-then-lead-developer-ezebook-pty-ltd,31
121095,2016-08-03,Req ID: 132989      BUSS (Business Unit Support Solutions)        SENIOR SITE RELIABILITY ENGINEER -…,Ericsson,"Dublin, Ireland",,"[mobile, c#, php]",Senior Site Reliability Engineer - MediaFirst,/jobs/121095/senior-site-reliability-engineer-mediafirst-ericsson,31
122156,2016-08-03,"DEVOPS ENGINEER - R&D (REMOTE)About usFounded in NYC, SecurityScorecard (www.securityscorecard.com)…",SecurityScorecard,"New York, NY",,"[postgres, mysql, golang, ruby]",DEVOPS Engineer - R&D (REMOTE),/jobs/122156/devops-engineer-r-d-remote-securityscorecard,31
122155,2016-08-03,"Who is EROAD?
EROAD is an NZX listed technology company that provides road charging, tax, compliance…",EROAD,"Auckland, New Zealand",,"[tibico, spotfire, sql-server]",Spotfire Analytics Engineer,/jobs/122155/spotfire-analytics-engineer-eroad,31
117697,2016-08-03,This role on the Routing Team is a technical leadership role as the primary person who will be designing…,INRIX,"Kirkland, WA",,[],Senior Software Developer - Routing,/jobs/117697/senior-software-developer-routing-inrix,31
117695,2016-08-03,We’re looking for an SDET to join our team in Seattle to create an automated test framework for testing…,INRIX,"Seattle, WA",,[],Senior Automation SDET,/jobs/117695/senior-automation-sdet-inrix,31
117693,2016-08-03,INRIX is on a path of unprecedented growth. The Delivery Services team is aggressively driving…,INRIX,"Kirkland, WA",,[],Back-End Web Service Developer,/jobs/117693/back-end-web-service-developer-inrix,31
83450,2016-08-03,Want to work for one of the fastest growing software companies in the World and love Open…,Elastic,No office location,Provides Equity,"[cloud, sas, amazon-web-services, azure, paas]",Engineering Lead- Cloud- Leading Open Source Company,/jobs/83450/engineering-lead-cloud-leading-open-source-elastic,31
122139,2016-08-03,You will be working in a small team of multi-disciplined engineers on creating the next generation video…,The Walt Disney Company,"Los Angeles, CA","$145,000 - 175,000","[java, spring-boot, kubernetes, amazon-dynamodb, graphql]",Senior Software Engineer,/jobs/122139/senior-software-engineer-the-walt-disney-company,31
117687,2016-08-03,"WHO YOU ARE
Is your background robust with designing, developing infrastructure, and configuration and…",Datapipe,"Jersey City, NJ",,"[java, ruby-on-rails, chef, ansible, puppet]",DevOps Engineer - Remote Opportunity within the US,/jobs/117687/devops-engineer-remote-opportunity-within-the-us-datapipe,31
119845,2016-08-03,"Senior Software Engineer - Bath
Based in the beautiful City of Bath, this part of our business develops…",Civica,"Bath, UK",,"[java, java-ee, junit, sql]",Senior Software Engineer - Bath,/jobs/119845/senior-software-engineer-bath-civica,31
117682,2016-08-03,"WHO YOU ARE
Are you an engineer leader who challenges yourself and others to constantly come up with…",Datapipe,"Jersey City, NJ",,[],Platform Engineer Manager - Remote Opportunity within the US,/jobs/117682/platform-engineer-manager-remote-opportunity-datapipe,31
117680,2016-08-03,"Across all of our products, Freedom Financial Network helps people improve their financial well being. …",Freedom Financial Network,"Tempe, AZ",,"[php, node.js, doctrine, zend-framework, redis]",Senior Software Engineer,/jobs/117680/senior-software-engineer-freedom-financial-network,31
117678,2016-08-03,The Primer team started as a growth consulting company working with clients to fuel exponential growth.…,Primer (goprimer.com),"San Francisco, CA",,"[angularjs, reactjs, ember.js, ruby-on-rails]",Lead Engineer/Manager - AngularJS,/jobs/117678/lead-engineer-manager-angularjs-primer-goprimercom,31
116903,2016-08-03,Join a two person team working in algorithmic geometry to manipulate 2D / 3D forms based on GIS data.…,Envelope,"New York, NY","$70,000 - 130,000

                                / 
Provides Equity","[sql, javascript, node.js, three.js]",3D Geospatial Geometry Engineer,/jobs/116903/3d-geospatial-geometry-engineer-envelope,31
99849,2016-08-03,"Purpose, mastery and autonomy. We provide all three at Rally Health (rallyhealth.com), a startup that's…","Rally Health, Inc.","San Francisco, CA",,"[rest, java, android, mobile]",Senior Mobile Engineer - Android,/jobs/99849/senior-mobile-engineer-android-rally-health-inc,31
122152,2016-08-03,An Augeo Front-End Developer will be responsible for crafting new instances of client websites and…,Augeo Marketing,"Saint Paul, MN","$50,000 - 65,000","[html5, css, javascript, jquery]",Front-end Developer,/jobs/122152/front-end-developer-augeo-marketing,31
122151,2016-08-03,"CMS Engineer - .NET team
DEG is seeking a CMS Engineer with Sitecore experience to develop…",DEG,"Overland Park, KS",,[sitecore],CMS Engineer - .NET team,/jobs/122151/cms-engineer-net-team-deg,31
101370,2016-08-03,"Rally Health improves health and saves money with our friendly, easy-to-use products that help people…","Rally Health, Inc.","Washington, DC",Provides Equity,"[chef, amazon-web-services, mongodb, cdn, amazon-elb]",DevOps Engineer -- SF/DC/Chi,/jobs/101370/devops-engineer-sf-dc-chi-rally-health-inc,31
122220,2016-08-04,In the present world of application development it's difficult to determine where the front-end stops…,"Compose, An IBM Company","San Francisco, CA",,"[c, go, ruby, java, python]",Application Developer,/jobs/122220/application-developer-compose-an-ibm-company,31
122229,2016-08-04,"Develop Windows PC software applications using Visual Studio toolset in a process-oriented environment,…",Kurt J. Lesker Company,"Clairton, PA",,"[.net, vba, winforms, sql]",Visual Studio Developer,/jobs/122229/visual-studio-developer-kurt-j-lesker-company,31
115497,2016-08-04,"JOB DESCRIPTION:
Senior Java Developer with Salesforce.com
UPS Internal Title: Senior Applications…",UPS Information Services,"Atlanta, GA",,"[salesforce, java]",Senior Java Developer with Salesforce.com (100189),/jobs/115497/senior-java-developer-with-salesforcecom-100189-ups-information-services,31
122237,2016-08-04,"Build new cloud technology AND work from home 2 days a week?
Yes and yes?  Read on!
Who are we
We’re…",Archon Systems,"Toronto, ON, Canada",,"[c#, .net, xamarin, azure, android]",C# Software Developer,/jobs/122237/c-sharp-software-developer-archon-systems,31
122238,2016-08-04,"Duties and Responsibilities

Work in an fast-paced agile development environment architecting and…",APEX Expert Solutions,"Arlington, VA","$90,000 - 115,000","[hadoop, cloudera, java, bigdata, geospatial]",Hadoop Application Developer,/jobs/122238/hadoop-application-developer-apex-expert-solutions,31
122236,2016-08-04," We're disrupting the real estate investor market by scaling out in whole new way, and are building a…",ManPow LLC,"Irving, TX","$80,000 - 125,000","[ruby-on-rails, angularjs]","Ruby on Rails Developers (Lead, Senior, and Mid-Level)",/jobs/122236/ruby-on-rails-developers-lead-senior-and-mid-manpow-llc,31
99957,2016-08-04,"Site Reliability Engineer - Core Engineering
We are looking for talented Site Reliability Engineers to…",Fastly,"San Francisco, CA",,"[python, java, linux, unix, chef, sysadmin]",Site Reliability Engineer - Core Engineering,/jobs/99957/site-reliability-engineer-core-engineering-fastly,31
98652,2016-08-04,About UsGorilla Logic provides custom application development services on the ground and in the cloud to…,Gorilla Logic,"San José, Costa Rica",,"[java, spring, hibernate, oracle]","Senior Java Developer - San Jose, Costa Rica",/jobs/98652/senior-java-developer-san-jose-costa-rica-gorilla-logic,31
99178,2016-08-04,"Gorilla Logic is hiring DevOps engineers in San José, Costa Rica. The Devops engineers will be part of…","Gorilla Logic, Inc.","San José, Costa Rica",,"[java, agile, continuous-integration, linux, amazon-web-services]","DevOps Engineer - San Jose, Costa Rica",/jobs/99178/devops-engineer-san-jose-costa-rica-gorilla-logic-inc,31
